id,label,x,y,closeness_all_edges,closeness_no_road_edges
50285,Osca,42.14,-0.409,0.09825834542815674,
50287,Ovilava,48.157,14.025,0.08268197361993161,
50288,Oxyrhynchus,28.673,30.626,0.08355961490989879,0.0900144023043687
50367,Stobi,41.531,21.978,0.10558328134747348,
50369,Sufetula,35.239,9.121,0.11085639430162109,
50402,Tridentum,46.067,11.119,0.10065417781742492,
50403,Troesmis,45.164,28.189,0.08065284727186085,0.07901390644753477
50404,Tyana,37.894,34.56,0.09210884353741497,
50413,Vercellae,45.321,8.426,0.08339492485833949,
50415,Verulamium,51.746,-0.355,0.0789320275154483,
50416,Vesontio,47.241,6.025,0.07931115276476101,0.06673785371062467
50419,Viminacium,44.716,21.167,0.08773976153447383,0.20224719101123595
50420,Vindobona,48.211,16.374,0.07296044832417287,0.23376623376623376
50421,Viroconium,52.67,-2.647,0.08306748466257668,
50425,Volsinii,42.645,11.986,0.11102000655952772,
50426,Volubilis,34.084,-5.506,0.11823262312259868,
50427,Zarai,35.786,5.695,0.08084547408645809,
50428,Zeugma,37.058,37.87,0.0841411881680338,0.4117647058823529
50053,Augusta Raurica,47.533,7.722,0.0746252204585538,0.04909019505170834
50055,Augusta Taurinorum,45.07,7.687,0.09337931034482759,0.06224066390041494
50059,Augustodunum,46.949,4.299,0.08072016215571719,
50077,Bonna,50.733,7.096,0.07378746594005449,0.06892115419959566
50078,Bononia,44.495,11.349,0.10177390258568851,0.07623500711526733
50079,Bononia (Moesia),43.993,22.876,0.08771702513604561,0.06027000964320154
50081,Bovianum,41.487,14.474,0.08589190560771377,
50085,Brigetio,47.735,18.17,0.07709828037808905,0.2608695652173913
50096,Caesarodunum,47.389,0.688,0.0915359653866955,0.09079903147699758
50098,Calleva,51.354,-1.101,0.0844771649613177,
50106,Carrhae,36.866,39.029,0.06819097502014504,
50111,Castulo,38.038,-3.624,0.10715416270971827,
50114,Celeia,46.22,15.272,0.09689423214541291,
50115,Cenabum,47.9,1.903,0.08648441492079714,0.08325932504440497
50118,Cibalae,45.291,18.801,0.09163508391987006,
50123,Clysma,29.959,32.568,0.12001418188264493,
50126,Comana,38.332,36.323,0.07924616645206602,
50132,Corfinium,42.124,13.842,0.10020722320899941,
50125,Ulpia Traiana Tricensimae,51.669,6.446,0.08096149246591725,0.07926442612555486
50152,Domavium,44.144,19.363,0.08710756562017499,
50153,Dorylaion,39.775,30.517,0.09887541989192347,
50154,Drobeta,44.636,22.66,0.08244033122260107,0.056852637962401455
50155,Dura,34.747,40.73,0.06778812456193051,0.30434782608695654
50157,Durocortorum,49.254,4.033,0.0796189580148183,
50158,Durostorum,44.117,27.261,0.07818454786926897,0.0733568075117371
50164,Emesa,34.85,36.74,0.08211036992116434,0.08511121198365865
50166,Emona,46.051,14.506,0.10538605230386053,
50170,Epiphaneia,35.14,36.74,0.08896189224704336,0.09300595238095238
50174,Florentia,43.769,11.257,0.10674865972879218,0.09819324430479183
50178,Gadara,32.022,35.717,0.09935427061931318,
50191,Heraklea,41.032,21.336,0.11420377867746288,
50195,Hibis,25.438,30.553,0.0765923747030207,
50202,Iconium,37.847,32.516,0.09064131744544116,
50203,Ilerda,41.614,0.626,0.10621273925321618,
50208,Italica,37.444,-6.047,0.11759597012332812,
50212,Iuvavum,47.801,13.044,0.07802235795781952,
50221,Lamasba,35.629,5.911,0.07511372461999334,
50239,Lugdunum Convenarum,43.027,0.573,0.10265352539802881,
50244,Lykopolis,27.184,31.187,0.07206727698530978,0.07684426229508197
